theta,q,u
-0.037468407140780834,-0.21037942049548203,0.2011644665788509
-0.03957220134573566,-0.16035342452699108,0.17535645740766598
-0.04117573559100557,-0.11389349120176209,0.1506875659030684
-0.04231467050302319,-0.07768220968540551,0.13123866681728968
-0.04309149259987725,-0.04161471986040129,0.11115181711599527
-0.04350763979848126,-0.012762623935541558,0.09467285395828745
-0.04363526603783668,0.01202529315709193,0.0800553561814182
-0.04351501310626576,0.03559171985409552,0.0656749943000742
-0.043159095907724807,0.05317784905145616,0.05441148238457592
-0.04262731741721024,0.0686982211092551,0.04403570216886743
-0.041940335206117695,0.08141705506820099,0.035030437371314796
-0.041126164655435685,0.09454001865252366,0.02552831811935717
-0.040180764468910446,0.1073099086411531,0.015975583753129033
-0.039107665382498914,0.1170342045494922,0.007994808035302503
-0.03793732333700399,0.1210810512692097,0.003226015912482158
-0.03672651282431189,0.12849839087009846,-0.0036460088734352886
-0.035441528915610906,0.1339144242654846,-0.009465596728068945
-0.03410238467295606,0.13536087556625748,-0.01301175599384237
-0.032748775917293485,0.13825976711509774,-0.017458308434471673
-0.03136617824614251,0.13863311609450396,-0.020447513164417355
-0.02997984708519747,0.13547193888762307,-0.021323469162178893
-0.02862512769632124,0.13148821059434904,-0.021642670963966944
-0.02731024559037775,0.12906425067576532,-0.022818059224703688
-0.026019603083620096,0.12564126225759686,-0.023345551187317924
-0.024763190461044127,0.12183975884596891,-0.02357747438549309
-0.023544792872584437,0.11706730506815632,-0.023150797295724918
-0.022374119821902873,0.11437143187104305,-0.023874619478820087
-0.021230405503192443,0.10900858105674736,-0.022944337627663534
-0.020140319692624968,0.10865822671923123,-0.024914296646288803
-0.019053737425432656,0.10579926597768528,-0.025372084735745856
-0.017995744765655804,0.1022291700094679,-0.025346012474369135
-0.016973453065561125,0.09703997296813524,-0.024277077649758894
-0.01600305333587977,0.09554624600340866,-0.025321640930285653
-0.015047590875845685,0.09281937592782978,-0.0255964438050065
-0.014119397116567388,0.08831107232773738,-0.02474784916350765
-0.013236286393290015,0.082600323515461,-0.023087621322696567
-0.012410283158135405,0.07710585025618621,-0.021442943837440914
